arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.03442,-1.40630,2.11020,0.13890,-0.66086,0.76028,0.60385,0.00659,0.11472,1702011513.20588
0.03443,-1.40629,2.11018,0.13891,-0.66085,0.76027,0.60386,0.00660,0.11472,1702011513.29888
0.03443,-1.40629,2.11017,0.13889,-0.66084,0.76026,0.60386,0.00660,0.11472,1702011513.40388
0.03444,-1.40630,2.11017,0.13889,-0.66081,0.76030,0.60386,0.00661,0.11473,1702011513.58188
0.03462,-1.40630,2.11009,0.13897,-0.66077,0.76067,0.60388,0.00671,0.11476,1702011513.75288
0.03473,-1.40630,2.11000,0.13917,-0.66060,0.76131,0.60389,0.00676,0.11478,1702011513.85188
0.03482,-1.40629,2.10953,0.13957,-0.65930,0.76200,0.60398,0.00679,0.11478,1702011513.95088
0.03491,-1.40629,2.10875,0.14160,-0.65724,0.76276,0.60412,0.00666,0.11478,1702011514.04988
0.03496,-1.40597,2.10827,0.14290,-0.65690,0.76323,0.60425,0.00655,0.11477,1702011514.15188
0.03493,-1.40531,2.10774,0.14308,-0.65690,0.76374,0.60444,0.00652,0.11467,1702011514.25088
0.03470,-1.40399,2.10660,0.14324,-0.65699,0.76444,0.60484,0.00637,0.11451,1702011514.35288
0.03386,-1.40207,2.10512,0.14333,-0.65736,0.76486,0.60540,0.00587,0.11423,1702011514.45488
0.02992,-1.39369,2.10432,0.14295,-0.67432,0.75859,0.60670,0.00318,0.11287,1702011514.55088
0.01674,-1.37421,2.10715,0.12416,-0.70022,0.72424,0.60850,-0.00306,0.10463,1702011514.65288
0.00204,-1.35382,2.11430,0.09855,-0.73398,0.68160,0.60919,-0.00938,0.09504,1702011514.75188
-0.01123,-1.33842,2.11927,0.07856,-0.76055,0.65169,0.60955,-0.01523,0.08824,1702011514.85388
-0.02294,-1.32657,2.12196,0.06197,-0.77772,0.63203,0.60991,-0.02035,0.08298,1702011514.94988
-0.03525,-1.31649,2.12466,0.04499,-0.79261,0.61166,0.60996,-0.02569,0.07832,1702011515.04888
-0.05152,-1.30365,2.12696,0.02288,-0.81163,0.58568,0.61013,-0.03271,0.07297,1702011515.15988
-0.06841,-1.29001,2.12924,0.00043,-0.83330,0.55667,0.61015,-0.03995,0.06761,1702011515.25888
-0.08514,-1.27829,2.13075,-0.02177,-0.85129,0.52913,0.61003,-0.04702,0.06306,1702011515.35188
-0.10341,-1.26642,2.13105,-0.04558,-0.86846,0.50162,0.60997,-0.05473,0.05883,1702011515.45088
-0.12171,-1.25552,2.13056,-0.06911,-0.88316,0.47585,0.60987,-0.06244,0.05506,1702011515.54988
-0.13959,-1.24594,2.12910,-0.09204,-0.89529,0.45287,0.60980,-0.06996,0.05204,1702011515.65188
-0.15849,-1.23644,2.12678,-0.11489,-0.90608,0.42833,0.60970,-0.07811,0.04919,1702011515.75088
-0.17937,-1.22586,2.12347,-0.14089,-0.91776,0.40003,0.60960,-0.08700,0.04622,1702011515.85288
-0.19918,-1.21760,2.12018,-0.16600,-0.92587,0.37325,0.60927,-0.09539,0.04392,1702011515.94888
-0.22111,-1.20984,2.11534,-0.19384,-0.93079,0.34391,0.60895,-0.10478,0.04195,1702011516.05089
-0.24129,-1.20220,2.11049,-0.22038,-0.94003,0.31689,0.60860,-0.11319,0.04084,1702011516.14989
-0.26015,-1.19637,2.10564,-0.24395,-0.94545,0.29265,0.60811,-0.12133,0.04011,1702011516.25789
-0.27697,-1.19221,2.10099,-0.26486,-0.94844,0.27269,0.60759,-0.12866,0.03986,1702011516.35389
-0.29677,-1.18718,2.09426,-0.28960,-0.94940,0.24645,0.60714,-0.13748,0.03955,1702011516.44989
-0.32056,-1.18262,2.08595,-0.32179,-0.95115,0.21351,0.60637,-0.14772,0.04016,1702011516.55489
-0.34187,-1.17897,2.07735,-0.35022,-0.95081,0.18334,0.60572,-0.15718,0.04110,1702011516.65089
-0.35737,-1.17688,2.07046,-0.37194,-0.95019,0.16133,0.60525,-0.16399,0.04229,1702011516.75289
-0.36101,-1.17616,2.06864,-0.37722,-0.95005,0.15617,0.60518,-0.16559,0.04252,1702011516.85189
-0.36128,-1.17616,2.06831,-0.37723,-0.94999,0.15617,0.60522,-0.16579,0.04267,1702011516.95089
-0.36125,-1.17610,2.06821,-0.37722,-0.94991,0.15617,0.60526,-0.16579,0.04267,1702011517.04989
-0.36124,-1.17608,2.06817,-0.37725,-0.94990,0.15619,0.60527,-0.16578,0.04267,1702011517.14889
-0.36122,-1.17608,2.06815,-0.37723,-0.94991,0.15618,0.60527,-0.16578,0.04269,1702011517.25389
-0.36122,-1.17608,2.06814,-0.37724,-0.94994,0.15618,0.60528,-0.16577,0.04270,1702011517.34989
-0.36123,-1.17608,2.06814,-0.37724,-0.94992,0.15616,0.60528,-0.16578,0.04269,1702011517.45189
-0.36125,-1.17609,2.06811,-0.37725,-0.94991,0.15617,0.60528,-0.16579,0.04271,1702011517.55089
-0.36125,-1.17609,2.06813,-0.37726,-0.94993,0.15615,0.60528,-0.16579,0.04271,1702011517.64989
-0.36125,-1.17609,2.06811,-0.37725,-0.94992,0.15617,0.60528,-0.16579,0.04271,1702011517.75189
-0.36125,-1.17608,2.06814,-0.37726,-0.94991,0.15616,0.60527,-0.16579,0.04269,1702011517.85389
-0.36126,-1.17610,2.06817,-0.37726,-0.94991,0.15616,0.60526,-0.16579,0.04268,1702011517.94989
-0.36126,-1.17609,2.06816,-0.37727,-0.94993,0.15618,0.60527,-0.16579,0.04269,1702011518.05190
-0.36125,-1.17611,2.06816,-0.37726,-0.94993,0.15618,0.60527,-0.16579,0.04270,1702011518.15090
-0.36126,-1.17611,2.06817,-0.37726,-0.94990,0.15618,0.60526,-0.16579,0.04269,1702011518.24990
-0.36127,-1.17610,2.06818,-0.37727,-0.94991,0.15617,0.60526,-0.16579,0.04268,1702011518.34890
