shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.01985,-1.24427,2.13220,-0.01454,-0.91304,-0.04235,0.61340,-0.00958,0.05276,-0.02581,-0.01242,-0.00449,0.99958,1715140907
-0.01986,-1.24409,2.13214,-0.01458,-0.91332,-0.04233,0.61342,-0.00958,0.05272,-0.02581,-0.01249,-0.00448,0.99958,1715140908
-0.01982,-1.24388,2.13209,-0.01457,-0.91369,-0.04232,0.61345,-0.00955,0.05270,-0.02580,-0.01260,-0.00446,0.99958,1715140908
-0.01634,-1.24429,2.13178,-0.01040,-0.91252,-0.04266,0.61354,-0.00806,0.05289,-0.02466,-0.01240,-0.00436,0.99961,1715140908
-0.00893,-1.24482,2.12981,-0.00499,-0.90251,-0.04489,0.61409,-0.00436,0.05226,-0.02405,-0.00870,-0.00272,0.99967,1715140908
0.00330,-1.25266,2.13035,0.00959,-0.88127,-0.05409,0.61354,0.00094,0.05264,-0.02398,-0.00173,-0.00209,0.99971,1715140908
0.01265,-1.26212,2.13135,0.01828,-0.86416,-0.07036,0.61268,0.00536,0.05457,-0.02927,0.00259,-0.00055,0.99957,1715140909
0.02083,-1.27458,2.13270,0.02459,-0.84860,-0.09007,0.61149,0.00942,0.05844,-0.03699,0.00479,0.00137,0.99930,1715140909
-0.00463,-1.28596,2.13284,-0.01325,-0.83862,-0.15611,0.61079,-0.00089,0.06335,-0.08236,0.00392,0.00295,0.99659,1715140909
-0.07371,-1.29831,2.12539,-0.09072,-0.83810,-0.27972,0.61070,-0.03241,0.07425,-0.16973,-0.00387,-0.00387,0.98547,1715140909
-0.10448,-1.31143,2.11871,-0.13001,-0.82372,-0.35757,0.61015,-0.04612,0.08257,-0.22183,-0.00491,-0.00584,0.97506,1715140909
-0.14691,-1.33048,2.10625,-0.18962,-0.81086,-0.46058,0.60916,-0.06440,0.09746,-0.29345,-0.01089,-0.00847,0.95588,1715140910
-0.17957,-1.34489,2.09231,-0.24000,-0.80072,-0.53911,0.60859,-0.07815,0.11081,-0.34969,-0.01650,-0.01041,0.93666,1715140910
-0.21596,-1.36798,2.06733,-0.30824,-0.78002,-0.64683,0.60813,-0.09271,0.13284,-0.42646,-0.02485,-0.01206,0.90408,1715140910
-0.23677,-1.38276,2.04921,-0.35278,-0.76690,-0.71376,0.60770,-0.10067,0.14802,-0.47443,-0.03076,-0.01325,0.87966,1715140910
-0.25315,-1.39758,2.02739,-0.40031,-0.75065,-0.78080,0.60778,-0.10604,0.16453,-0.52293,-0.03718,-0.01305,0.85146,1715140910
-0.26876,-1.41566,1.99946,-0.45527,-0.73385,-0.85847,0.60765,-0.11036,0.18601,-0.57804,-0.04687,-0.01402,0.81454,1715140911
-0.27908,-1.42943,1.97569,-0.50245,-0.71781,-0.92109,0.60747,-0.11254,0.20290,-0.62208,-0.05361,-0.01408,0.78099,1715140911
-0.28307,-1.45460,1.92415,-0.59126,-0.68537,-1.03488,0.60815,-0.10816,0.23761,-0.69949,-0.07024,-0.01318,0.71106,1715140911
-0.28282,-1.46378,1.89729,-0.63194,-0.67216,-1.08383,0.60868,-0.10515,0.25419,-0.73172,-0.07875,-0.01411,0.67689,1715140911
-0.27698,-1.47409,1.87587,-0.67725,-0.65678,-1.13757,0.60865,-0.09844,0.26766,-0.76477,-0.08664,-0.01151,0.63834,1715140911
-0.26440,-1.48855,1.82836,-0.75212,-0.63101,-1.22329,0.60915,-0.08645,0.29526,-0.81498,-0.10234,-0.01248,0.57024,1715140912
-0.24857,-1.49694,1.79944,-0.80577,-0.61192,-1.28063,0.60951,-0.07423,0.31074,-0.84571,-0.11312,-0.01062,0.52141,1715140912
-0.22527,-1.50480,1.76552,-0.86777,-0.58778,-1.34416,0.61002,-0.05794,0.32756,0.87687,0.12558,0.00875,-0.46396,1715140912
-0.19324,-1.51161,1.72121,-0.94800,-0.56074,-1.42574,0.61020,-0.03614,0.34818,0.91095,0.14251,0.00928,-0.38700,1715140912
-0.16767,-1.51360,1.69616,-0.99895,-0.54239,-1.47657,0.61056,-0.01991,0.35802,0.92859,0.15327,0.00843,-0.33786,1715140912
-0.12941,-1.51505,1.66427,-1.06888,-0.51801,-1.54508,0.61054,0.00376,0.36955,0.94798,0.16847,0.00815,-0.26996,1715140913
-0.09804,-1.51490,1.64134,-1.12499,-0.49757,-1.59882,0.61032,0.02243,0.37656,0.95984,0.17936,0.00834,-0.21556,1715140913
