shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.05891,-1.51205,1.61809,-1.19269,-0.47763,-1.66252,0.61000,0.04585,0.38147,0.96937,0.19392,0.00846,-0.15047,1715140913
-0.01276,-1.50580,1.59516,-1.26845,-0.44583,-1.73328,0.61045,0.07123,0.38301,0.97551,0.20565,0.00791,-0.07764,1715140913
0.02334,-1.49950,1.58006,-1.32766,-0.42399,-1.78937,0.61050,0.09118,0.38229,0.97624,0.21559,0.00851,-0.02035,1715140913
0.05655,-1.49084,1.56782,-1.38327,-0.40346,-1.83989,0.61119,0.10927,0.37908,0.97398,0.22418,0.00856,0.03218,1715140914
0.11081,-1.47262,1.55000,-1.48974,-0.37507,-1.93514,0.61220,0.13967,0.36970,0.96164,0.24069,0.01081,0.13116,1715140914
0.13787,-1.46193,1.54476,-1.54032,-0.35949,-1.97929,0.61299,0.15445,0.36232,0.95232,0.24818,0.01111,0.17713,1715140914
0.16843,-1.44842,1.54205,-1.60858,-0.34283,-2.03919,0.61377,0.17136,0.35068,0.93626,0.25767,0.01186,0.23850,1715140914
0.19641,-1.43114,1.54069,-1.67925,-0.33240,-2.09829,0.61507,0.18780,0.33590,0.91525,0.26949,0.01247,0.29923,1715140915
0.21361,-1.41771,1.54219,-1.72900,-0.33024,-2.13840,0.61593,0.19866,0.32321,0.89775,0.27970,0.01231,0.34010,1715140915
0.23895,-1.39541,1.55121,-1.82058,-0.32955,-2.21281,0.61660,0.21474,0.29761,0.86039,0.29818,0.01193,0.41314,1715140915
0.24638,-1.38557,1.55630,-1.85895,-0.32950,-2.24292,0.61728,0.21938,0.28577,0.84329,0.30519,0.01101,0.44226,1715140915
0.25580,-1.36933,1.56966,-1.93013,-0.33163,-2.29852,0.61794,0.22509,0.26275,0.80896,0.31824,0.00877,0.49420,1715140915
0.26103,-1.35838,1.58111,-1.98345,-0.32936,-2.33943,0.61843,0.22723,0.24574,0.78173,0.32591,0.00704,0.53163,1715140915
0.26121,-1.34290,1.59911,-2.06578,-0.33159,-2.39714,0.61924,0.22582,0.22008,0.73815,0.33777,0.00359,0.58398,1715140916
0.25640,-1.33048,1.61810,-2.14438,-0.33157,-2.45169,0.61995,0.22029,0.19650,0.69412,0.34696,0.00005,0.63072,1715140916
0.25176,-1.32070,1.62981,-2.19858,-0.33162,-2.49250,0.62071,0.21543,0.18042,0.66099,0.35332,-0.00151,0.66201,1715140916
0.23645,-1.30661,1.64629,-2.28505,-0.34601,-2.54762,0.62108,0.20384,0.15608,0.60878,0.36717,-0.00533,0.70324,1715140916
0.21635,-1.29367,1.66668,-2.38574,-0.35707,-2.61390,0.62085,0.18713,0.13023,0.54473,0.38058,-0.00875,0.74723,1715140916
0.20291,-1.28865,1.67503,-2.44209,-0.36004,-2.64796,0.62140,0.17578,0.11947,0.50964,0.38464,-0.01017,0.76955,1715140917
0.17830,-1.27870,1.68604,-2.54850,-0.37510,-2.70808,0.62133,0.15520,0.10092,0.44197,0.39605,-0.01142,0.80478,1715140917
0.16385,-1.27213,1.69105,-2.61405,-0.38476,-2.74314,0.62115,0.14258,0.09041,0.39972,0.40330,-0.01178,0.82307,1715140917
0.16402,-1.27227,1.69089,-2.61515,-0.38485,-2.74546,0.62113,0.14262,0.09053,0.39824,0.40328,-0.01115,0.82380,1715140917
0.16399,-1.27222,1.69068,-2.61515,-0.38574,-2.74683,0.62105,0.14267,0.09051,0.39763,0.40363,-0.01083,0.82393,1715140917
0.16401,-1.27203,1.69067,-2.61530,-0.38577,-2.74867,0.62106,0.14267,0.09038,0.39679,0.40373,-0.01049,0.82429,1715140918
0.16398,-1.27187,1.69057,-2.61668,-0.38586,-2.74906,0.62108,0.14258,0.09026,0.39599,0.40381,-0.01041,0.82463,1715140918
0.16381,-1.27174,1.69039,-2.61742,-0.38593,-2.74949,0.62115,0.14243,0.09025,0.39552,0.40380,-0.01037,0.82487,1715140918
0.16382,-1.27171,1.69019,-2.61749,-0.38608,-2.74969,0.62117,0.14245,0.09032,0.39540,0.40380,-0.01028,0.82492,1715140918
0.16385,-1.27165,1.69006,-2.61756,-0.38615,-2.74982,0.62119,0.14248,0.09034,0.39531,0.40381,-0.01022,0.82496,1715140918
0.16388,-1.27159,1.68998,-2.61756,-0.38616,-2.74996,0.62121,0.14250,0.09034,0.39525,0.40382,-0.01018,0.82499,1715140919
0.16388,-1.27157,1.68994,-2.61760,-0.38624,-2.75002,0.62121,0.14250,0.09033,0.39520,0.40385,-0.01016,0.82500,1715140919
0.16388,-1.27155,1.68990,-2.61759,-0.38630,-2.75012,0.62121,0.14251,0.09034,0.39516,0.40387,-0.01013,0.82501,1715140919
0.16391,-1.27155,1.68989,-2.61760,-0.38636,-2.75013,0.62120,0.14253,0.09034,0.39514,0.40389,-0.01012,0.82500,1715140919
0.16405,-1.27154,1.68977,-2.61762,-0.38637,-2.75031,0.62121,0.14262,0.09040,0.39504,0.40388,-0.01000,0.82506,1715140920
0.16404,-1.27155,1.68974,-2.61763,-0.38639,-2.75036,0.62121,0.14262,0.09041,0.39501,0.40388,-0.00998,0.82508,1715140920
0.16404,-1.27154,1.68974,-2.61767,-0.38643,-2.75042,0.62120,0.14262,0.09040,0.39496,0.40390,-0.00997,0.82509,1715140920
0.16403,-1.27154,1.68970,-2.61767,-0.38644,-2.75048,0.62121,0.14262,0.09042,0.39495,0.40388,-0.00995,0.82510,1715140920
0.16402,-1.27154,1.68972,-2.61767,-0.38651,-2.75050,0.62120,0.14262,0.09041,0.39493,0.40392,-0.00995,0.82509,1715140920
0.16403,-1.27154,1.68973,-2.61768,-0.38650,-2.75052,0.62120,0.14262,0.09040,0.39492,0.40393,-0.00995,0.82510,1715140920
0.16404,-1.27154,1.68969,-2.61768,-0.38652,-2.75054,0.62120,0.14263,0.09042,0.39491,0.40392,-0.00993,0.82510,1715140921
0.16403,-1.27152,1.68970,-2.61768,-0.38654,-2.75057,0.62120,0.14262,0.09040,0.39490,0.40394,-0.00994,0.82510,1715140921
0.16405,-1.27153,1.68969,-2.61770,-0.38652,-2.75060,0.62120,0.14263,0.09041,0.39488,0.40393,-0.00992,0.82512,1715140921
0.16404,-1.27152,1.68969,-2.61771,-0.38658,-2.75062,0.62119,0.14263,0.09040,0.39486,0.40396,-0.00992,0.82511,1715140921
0.16405,-1.27151,1.68967,-2.61772,-0.38659,-2.75064,0.62120,0.14264,0.09040,0.39484,0.40396,-0.00990,0.82512,1715140921
0.16403,-1.27151,1.68969,-2.61773,-0.38658,-2.75069,0.62120,0.14262,0.09039,0.39482,0.40396,-0.00991,0.82513,1715140922
0.16403,-1.27153,1.68970,-2.61774,-0.38658,-2.75065,0.62119,0.14262,0.09040,0.39483,0.40395,-0.00991,0.82513,1715140922
0.16404,-1.27150,1.68966,-2.61773,-0.38662,-2.75072,0.62120,0.14263,0.09040,0.39480,0.40397,-0.00989,0.82513,1715140922
0.16404,-1.27151,1.68967,-2.61772,-0.38660,-2.75072,0.62120,0.14263,0.09040,0.39481,0.40396,-0.00990,0.82513,1715140922
0.16403,-1.27150,1.68964,-2.61773,-0.38663,-2.75075,0.62120,0.14263,0.09040,0.39479,0.40397,-0.00989,0.82514,1715140922
0.16405,-1.27148,1.68962,-2.61774,-0.38666,-2.75084,0.62120,0.14264,0.09040,0.39475,0.40398,-0.00986,0.82515,1715140923
0.16402,-1.27150,1.68963,-2.61776,-0.38665,-2.75089,0.62120,0.14262,0.09040,0.39472,0.40397,-0.00986,0.82517,1715140923
0.16405,-1.27148,1.68962,-2.61777,-0.38667,-2.75088,0.62120,0.14264,0.09040,0.39472,0.40399,-0.00985,0.82516,1715140923
0.16405,-1.27149,1.68964,-2.61776,-0.38666,-2.75086,0.62120,0.14264,0.09039,0.39473,0.40399,-0.00986,0.82516,1715140923
0.16404,-1.27148,1.68962,-2.61775,-0.38668,-2.75092,0.62120,0.14264,0.09040,0.39471,0.40399,-0.00985,0.82516,1715140924
0.16402,-1.27145,1.68962,-2.61774,-0.38667,-2.75093,0.62121,0.14263,0.09038,0.39471,0.40399,-0.00986,0.82516,1715140924
0.16402,-1.27145,1.68962,-2.61776,-0.38669,-2.75093,0.62120,0.14263,0.09038,0.39470,0.40401,-0.00986,0.82516,1715140924
0.16405,-1.27148,1.68958,-2.61775,-0.38670,-2.75097,0.62120,0.14264,0.09041,0.39469,0.40399,-0.00983,0.82518,1715140924
0.16402,-1.27145,1.68959,-2.61777,-0.38669,-2.75101,0.62121,0.14263,0.09039,0.39467,0.40399,-0.00983,0.82518,1715140924
0.16402,-1.27145,1.68961,-2.61776,-0.38670,-2.75102,0.62120,0.14262,0.09038,0.39467,0.40401,-0.00984,0.82518,1715140925
0.16403,-1.27145,1.68960,-2.61773,-0.38671,-2.75101,0.62120,0.14264,0.09038,0.39468,0.40401,-0.00984,0.82517,1715140925
0.16403,-1.27146,1.68959,-2.61776,-0.38675,-2.75101,0.62120,0.14264,0.09039,0.39467,0.40402,-0.00983,0.82517,1715140925
0.16403,-1.27146,1.68960,-2.61776,-0.38671,-2.75104,0.62120,0.14263,0.09039,0.39465,0.40400,-0.00982,0.82519,1715140925
0.16402,-1.27145,1.68958,-2.61776,-0.38672,-2.75103,0.62121,0.14263,0.09039,0.39466,0.40400,-0.00983,0.82518,1715140925
0.16402,-1.27145,1.68958,-2.61776,-0.38670,-2.75104,0.62121,0.14263,0.09039,0.39466,0.40400,-0.00983,0.82519,1715140926
0.16404,-1.27146,1.68958,-2.61778,-0.38680,-2.75105,0.62119,0.14264,0.09039,0.39463,0.40404,-0.00981,0.82518,1715140926
0.16402,-1.27144,1.68956,-2.61776,-0.38680,-2.75114,0.62120,0.14264,0.09039,0.39461,0.40404,-0.00980,0.82519,1715140926
0.16402,-1.27145,1.68955,-2.61777,-0.38684,-2.75111,0.62120,0.14264,0.09039,0.39462,0.40405,-0.00980,0.82518,1715140926
0.16401,-1.27143,1.68954,-2.61775,-0.38683,-2.75116,0.62121,0.14263,0.09039,0.39461,0.40404,-0.00980,0.82519,1715140926
0.16401,-1.27142,1.68954,-2.61776,-0.38683,-2.75116,0.62120,0.14263,0.09038,0.39460,0.40405,-0.00980,0.82519,1715140927
0.16402,-1.27144,1.68954,-2.61777,-0.38684,-2.75114,0.62120,0.14264,0.09040,0.39460,0.40404,-0.00979,0.82519,1715140927
0.16401,-1.27142,1.68954,-2.61775,-0.38684,-2.75116,0.62120,0.14263,0.09038,0.39461,0.40405,-0.00980,0.82519,1715140927
0.16402,-1.27143,1.68954,-2.61777,-0.38686,-2.75118,0.62120,0.14264,0.09038,0.39459,0.40406,-0.00979,0.82519,1715140927
0.16402,-1.27141,1.68953,-2.61777,-0.38684,-2.75117,0.62121,0.14264,0.09038,0.39459,0.40405,-0.00979,0.82519,1715140927
0.16403,-1.27142,1.68950,-2.61777,-0.38684,-2.75118,0.62121,0.14265,0.09040,0.39459,0.40404,-0.00978,0.82520,1715140928
0.16400,-1.27141,1.68954,-2.61777,-0.38687,-2.75117,0.62120,0.14263,0.09037,0.39459,0.40407,-0.00980,0.82519,1715140928
0.16401,-1.27142,1.68953,-2.61775,-0.38688,-2.75120,0.62120,0.14263,0.09038,0.39459,0.40406,-0.00979,0.82519,1715140928
0.16402,-1.27141,1.68952,-2.61777,-0.38689,-2.75121,0.62120,0.14264,0.09038,0.39457,0.40407,-0.00979,0.82519,1715140928
0.16402,-1.27142,1.68952,-2.61776,-0.38687,-2.75117,0.62120,0.14264,0.09039,0.39459,0.40406,-0.00979,0.82519,1715140929
0.16402,-1.27142,1.68950,-2.61778,-0.38687,-2.75120,0.62121,0.14264,0.09040,0.39458,0.40405,-0.00978,0.82520,1715140929
0.16402,-1.27141,1.68950,-2.61776,-0.38692,-2.75118,0.62120,0.14264,0.09039,0.39459,0.40408,-0.00979,0.82518,1715140929
0.16402,-1.27140,1.68950,-2.61776,-0.38690,-2.75117,0.62120,0.14264,0.09038,0.39459,0.40408,-0.00979,0.82518,1715140929
0.16402,-1.27140,1.68950,-2.61776,-0.38693,-2.75118,0.62120,0.14265,0.09038,0.39459,0.40409,-0.00978,0.82518,1715140929
0.16402,-1.27138,1.68951,-2.61778,-0.38689,-2.75120,0.62120,0.14264,0.09037,0.39457,0.40408,-0.00979,0.82519,1715140930
0.16402,-1.27138,1.68951,-2.61775,-0.38688,-2.75121,0.62121,0.14264,0.09037,0.39458,0.40408,-0.00979,0.82519,1715140930
0.16402,-1.27140,1.68950,-2.61776,-0.38690,-2.75122,0.62121,0.14264,0.09038,0.39457,0.40407,-0.00978,0.82519,1715140930
0.16402,-1.27140,1.68953,-2.61775,-0.38689,-2.75122,0.62120,0.14264,0.09037,0.39458,0.40408,-0.00979,0.82519,1715140930
0.16400,-1.27140,1.68950,-2.61779,-0.38691,-2.75121,0.62120,0.14263,0.09038,0.39457,0.40408,-0.00979,0.82519,1715140930
0.16402,-1.27140,1.68949,-2.61774,-0.38689,-2.75122,0.62121,0.14264,0.09039,0.39458,0.40406,-0.00978,0.82519,1715140931
0.16403,-1.27140,1.68951,-2.61775,-0.38689,-2.75121,0.62120,0.14265,0.09038,0.39458,0.40408,-0.00978,0.82519,1715140931
0.16402,-1.27139,1.68950,-2.61777,-0.38689,-2.75122,0.62121,0.14265,0.09038,0.39457,0.40408,-0.00978,0.82519,1715140931
0.16402,-1.27140,1.68950,-2.61776,-0.38687,-2.75123,0.62121,0.14264,0.09039,0.39457,0.40406,-0.00978,0.82520,1715140931
0.16402,-1.27140,1.68951,-2.61778,-0.38691,-2.75120,0.62120,0.14264,0.09037,0.39457,0.40409,-0.00979,0.82519,1715140931
0.16402,-1.27139,1.68946,-2.61778,-0.38689,-2.75125,0.62121,0.14264,0.09040,0.39456,0.40406,-0.00977,0.82521,1715140932
0.16402,-1.27140,1.68950,-2.61776,-0.38689,-2.75128,0.62121,0.14264,0.09039,0.39455,0.40407,-0.00977,0.82521,1715140932
0.16402,-1.27138,1.68948,-2.61776,-0.38691,-2.75128,0.62121,0.14264,0.09038,0.39455,0.40408,-0.00977,0.82520,1715140932
0.16402,-1.27140,1.68949,-2.61775,-0.38692,-2.75125,0.62120,0.14264,0.09039,0.39456,0.40408,-0.00977,0.82519,1715140932
0.16403,-1.27140,1.68946,-2.61777,-0.38692,-2.75128,0.62121,0.14265,0.09040,0.39454,0.40407,-0.00975,0.82521,1715140932
0.16401,-1.27139,1.68949,-2.61777,-0.38697,-2.75130,0.62120,0.14264,0.09037,0.39453,0.40410,-0.00977,0.82520,1715140933
0.16402,-1.27137,1.68946,-2.61780,-0.38692,-2.75133,0.62121,0.14264,0.09039,0.39451,0.40408,-0.00975,0.82522,1715140933
0.16402,-1.27139,1.68948,-2.61778,-0.38695,-2.75137,0.62120,0.14264,0.09038,0.39450,0.40409,-0.00975,0.82522,1715140933
0.16400,-1.27137,1.68949,-2.61777,-0.38691,-2.75135,0.62121,0.14263,0.09037,0.39452,0.40408,-0.00976,0.82521,1715140933
0.16402,-1.27138,1.68950,-2.61778,-0.38692,-2.75136,0.62120,0.14265,0.09037,0.39450,0.40409,-0.00975,0.82522,1715140934
0.16402,-1.27139,1.68946,-2.61778,-0.38693,-2.75137,0.62121,0.14264,0.09039,0.39450,0.40408,-0.00974,0.82522,1715140934
0.16401,-1.27138,1.68950,-2.61778,-0.38692,-2.75137,0.62120,0.14264,0.09037,0.39450,0.40409,-0.00976,0.82522,1715140934
0.16400,-1.27138,1.68949,-2.61777,-0.38691,-2.75141,0.62121,0.14263,0.09038,0.39449,0.40408,-0.00975,0.82523,1715140934
0.16401,-1.27137,1.68948,-2.61776,-0.38691,-2.75135,0.62121,0.14264,0.09037,0.39452,0.40408,-0.00976,0.82521,1715140934
0.16401,-1.27138,1.68946,-2.61776,-0.38695,-2.75137,0.62121,0.14264,0.09038,0.39451,0.40409,-0.00975,0.82522,1715140935
0.16400,-1.27137,1.68946,-2.61777,-0.38692,-2.75139,0.62122,0.14263,0.09039,0.39450,0.40407,-0.00975,0.82523,1715140935
