shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
0.14811,-1.80478,2.05719,0.80606,-0.36602,0.83431,0.52167,0.02929,0.29800,0.71882,-0.04304,-0.03679,0.69289,1714866344
0.14787,-1.80488,2.05693,0.80648,-0.36600,0.83470,0.52165,0.02914,0.29818,0.71911,-0.04325,-0.03681,0.69257,1714866344
0.14800,-1.80580,2.05557,0.81535,-0.36390,0.82720,0.52141,0.02902,0.29875,0.71961,-0.04299,-0.03755,0.69203,1714866345
0.14857,-1.80847,2.05426,0.82807,-0.35936,0.81492,0.52065,0.02922,0.29967,0.71990,-0.04189,-0.03824,0.69176,1714866345
0.15019,-1.81223,2.05295,0.83493,-0.35067,0.80616,0.51962,0.03078,0.30089,0.71972,-0.03866,-0.03715,0.69219,1714866345
0.15256,-1.82078,2.05717,0.83769,-0.34582,0.80359,0.51694,0.03216,0.30198,0.72020,-0.03685,-0.03527,0.69188,1714866345
0.15714,-1.83318,2.10146,0.74111,-0.39645,0.90426,0.51145,0.03194,0.29375,0.72037,-0.04892,-0.02602,0.69137,1714866345
0.16006,-1.84284,2.17864,0.62967,-0.46695,1.02479,0.50440,0.03144,0.26917,0.72041,-0.05620,-0.01972,0.69099,1714866346
0.16159,-1.80956,2.25990,0.50600,-0.58974,1.16438,0.50443,0.03134,0.23147,0.72023,-0.06680,-0.01113,0.69042,1714866346
0.15906,-1.76927,2.29840,0.43754,-0.66174,1.23097,0.50772,0.03241,0.20489,0.71660,-0.06637,-0.00691,0.69428,1714866346
0.15491,-1.70750,2.31985,0.38976,-0.73264,1.27924,0.51525,0.03271,0.17626,0.71319,-0.06433,-0.00760,0.69797,1714866346
0.14804,-1.61648,2.32198,0.34371,-0.82870,1.33638,0.52798,0.03218,0.14747,0.71295,-0.06861,-0.00399,0.69784,1714866347
0.14418,-1.56682,2.30769,0.32407,-0.87388,1.36056,0.53701,0.03226,0.13802,0.71323,-0.07312,0.00086,0.69710,1714866347
0.13821,-1.48784,2.28728,0.30116,-0.93999,1.39197,0.55003,0.03177,0.11928,0.71365,-0.07767,0.00462,0.69617,1714866347
