shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp,Timestep,Euler Y,Euler Z,Euler X,Euler X no wrap
0.27652,-1.38647,1.80364,-1.2933,-0.00514,-1.25682,0.61594,0.17312,0.15536,0.93488,0.07169,-0.23561,-0.25563,1715138782,5.449090909,-0.497501013,-0.013585559,-2.60431823,-2.60431823
0.26252,-1.37964,1.82563,-1.34848,0.02574,-1.31128,0.61623,0.15807,0.13737,0.94745,0.0592,-0.24275,-0.19977,1715138782,5.650909091,-0.504871181,-0.015190302,-2.722061783,-2.722061783
0.24901,-1.37488,1.84361,-1.38646,0.04875,-1.34928,0.61607,0.14475,0.12377,0.95391,0.04834,-0.24883,-0.16065,1715138782,5.852727273,-0.512420818,-0.012275176,-2.804683977,-2.804683977
0.22967,-1.3711,1.86585,-1.43616,0.07839,-1.39963,0.61538,0.12631,0.10893,0.96,0.03498,-0.25534,-0.10943,1715138783,6.054545455,-0.52122364,-0.01127816,-2.911585632,-2.911585632
0.21298,-1.36853,1.8811,-1.4732,0.1023,-1.43727,0.61495,0.11088,0.09921,0.96278,0.02383,-0.25962,-0.07124,1715138783,6.256363636,-0.527452487,-0.008895636,-2.991471762,-2.991471762
0.19526,-1.36842,1.89148,-1.51008,0.12759,-1.47623,0.61512,0.09479,0.09414,0.96478,0.01251,-0.26067,-0.03304,1715138783,6.458181818,-0.528013522,-0.006913795,-3.071258193,-3.071258193
0.17203,-1.3685,1.90408,-1.55677,0.15823,-1.52438,0.615,0.07431,0.08869,0.96492,-0.00129,-0.26215,0.01443,1715138783,6.66,-0.530482662,-0.005076161,-3.17012074,3.113064567
0.1554,-1.36905,1.91211,-1.58865,0.17945,-1.55782,0.61474,0.0599,0.08593,0.96361,-0.0109,-0.26295,0.04692,1715138783,6.861818182,-0.532611807,-0.003668512,-3.23789888,3.045286427
0.1327,-1.37296,1.91823,-1.63412,0.20879,-1.60669,0.61491,0.04048,0.08726,0.96069,-0.02343,-0.2605,0.09303,1715138784,7.063636364,-0.529251512,-0.003450741,-3.333728869,2.949456438
0.11064,-1.3774,1.92348,-1.67655,0.24021,-1.65235,0.61468,0.02122,0.08985,0.95576,-0.03755,-0.25801,0.13618,1715138784,7.265454545,-0.527550399,0.001505971,-3.425061038,2.858124269
0.09619,-1.38242,1.93014,-1.70713,0.25635,-1.68508,0.61343,0.00951,0.09124,0.95094,-0.04386,-0.25707,0.16646,1715138784,7.467272727,-0.527664733,-0.00216728,-3.487591391,2.795593916
0.07185,-1.39183,1.93454,-1.76266,0.29133,-1.74735,0.61245,-0.01117,0.0989,0.94005,-0.05753,-0.2518,0.22269,1715138784,7.669090909,-0.52248711,-0.00398455,-3.605735086,2.677450221
0.04958,-1.40505,1.93028,-1.81003,0.32396,-1.80041,0.61227,-0.02985,0.11371,0.92931,-0.07322,-0.24185,0.26932,1715138784,7.870909091,-0.510889444,0.005818088,-3.707269741,2.575915566
0.03477,-1.4131,1.93547,-1.86071,0.34811,-1.85992,0.61062,-0.04209,0.12015,0.91341,-0.07883,-0.23814,0.32055,1715138785,8.072727273,-0.507046533,-0.008663485,-3.814367822,2.468817485
0.01755,-1.42795,1.93055,-1.91189,0.38707,-1.9176,0.60937,-0.05795,0.13804,0.89558,-0.09615,-0.22702,0.37035,1715138785,8.274545455,-0.498204129,0.004066309,-3.926859564,2.356325744
0.01158,-1.43683,1.91768,-1.94125,0.40847,-1.95111,0.61037,-0.06426,0.15439,0.88522,-0.10638,-0.2156,0.39823,1715138785,8.476363636,-0.485327386,0.016623369,-3.991191978,2.291993329
