arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.00577,-0.79750,1.80614,0.01969,-1.09365,-0.00083,0.70607,0.00118,-0.04926,1702001132.64246
0.00577,-0.79753,1.80614,0.01970,-1.09366,-0.00083,0.70607,0.00117,-0.04924,1702001132.74446
0.00576,-0.79753,1.80615,0.01969,-1.09365,-0.00082,0.70607,0.00117,-0.04924,1702001132.84346
0.00576,-0.79752,1.80616,0.01968,-1.09364,-0.00082,0.70607,0.00117,-0.04925,1702001132.94246
0.00578,-0.79752,1.80615,0.01969,-1.09363,-0.00081,0.70607,0.00119,-0.04925,1702001133.04147
0.00577,-0.79752,1.80616,0.01967,-1.09366,-0.00083,0.70607,0.00118,-0.04925,1702001133.14046
0.00575,-0.79753,1.80616,0.01970,-1.09362,-0.00082,0.70607,0.00116,-0.04925,1702001133.24247
0.00577,-0.79752,1.80615,0.01970,-1.09364,-0.00082,0.70607,0.00118,-0.04925,1702001133.34146
0.00577,-0.79752,1.80615,0.01970,-1.09363,-0.00082,0.70607,0.00117,-0.04925,1702001133.44046
0.00577,-0.79752,1.80616,0.01968,-1.09364,-0.00082,0.70607,0.00118,-0.04925,1702001133.64146
0.00577,-0.79753,1.80617,0.01967,-1.09366,-0.00084,0.70607,0.00118,-0.04925,1702001133.74047
0.00576,-0.79752,1.80615,0.01969,-1.09365,-0.00083,0.70607,0.00117,-0.04925,1702001133.84246
0.00577,-0.79752,1.80614,0.01969,-1.09369,-0.00082,0.70607,0.00118,-0.04924,1702001134.04047
