shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp,Timestep,Euler X,Euler Y,Euler Z
0.00744,-2.0244,2.18623,0.83943,-0.13911,0.77206,0.45664,-0.01422,0.2955,0.7171,-0.01072,-0.05791,0.69447,1714873141,0,1.599572704,0.068218703,-0.09618074
0.01779,-2.03251,2.21361,0.66913,-0.1997,0.94303,0.45434,-0.01343,0.29513,0.71657,-0.02968,-0.04519,0.69542,1714873141,0.171428571,1.599510413,0.023485517,-0.105612467
0.0119,-2.04038,2.37942,0.2104,-0.49545,1.42338,0.44427,-0.01157,0.26264,0.72072,-0.08234,0.02262,0.68795,1714873142,0.342857143,1.623818358,-0.146418994,-0.088628028
0.01143,-1.98924,2.4795,0.1167,-0.77105,1.53266,0.43968,-0.00829,0.23477,0.72014,-0.12038,0.07598,0.67907,1714873142,0.514285714,1.639646316,-0.276431973,-0.07302404
0.0161,-1.92435,2.51376,0.15336,-0.95595,1.50409,0.43965,-0.01476,0.22022,0.71112,-0.16351,0.09054,0.67778,1714873142,0.685714286,1.640084748,-0.358012648,-0.117521559
0.01247,-1.7251,2.53847,0.11603,-1.34671,1.57746,0.44407,-0.01398,0.18802,0.70386,-0.2173,0.15471,0.65836,1714873142,0.857142857,1.669670301,-0.528114871,-0.118582371
0.01158,-1.54524,2.50708,0.11048,-1.61119,1.6081,0.45194,-0.01375,0.165,0.69374,-0.25513,0.19635,0.64427,1714873142,1.028571429,1.687097582,-0.644970304,-0.12670636
0.01182,-1.46898,2.48689,0.11263,-1.718,1.61079,0.4546,-0.0138,0.15538,0.68578,-0.27293,0.21249,0.64036,1714873143,1.2,1.687762004,-0.695788727,-0.13354769
