shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
0.01205,-1.46960,2.48694,0.11257,-1.71800,1.61085,0.45450,-0.01369,0.15565,0.68577,-0.27300,0.21279,0.64024,1714873149
0.01204,-1.46960,2.48689,0.11259,-1.71798,1.61083,0.45451,-0.01369,0.15566,0.68576,-0.27302,0.21279,0.64024,1714873149
0.01208,-1.46960,2.48695,0.11258,-1.71801,1.61082,0.45450,-0.01367,0.15564,0.68577,-0.27300,0.21279,0.64025,1714873150
0.01206,-1.46960,2.48693,0.11258,-1.71800,1.61082,0.45450,-0.01368,0.15565,0.68576,-0.27301,0.21279,0.64025,1714873150
0.01203,-1.46959,2.48693,0.11255,-1.71802,1.61084,0.45450,-0.01369,0.15565,0.68576,-0.27301,0.21280,0.64024,1714873150
0.01206,-1.46960,2.48692,0.11256,-1.71801,1.61086,0.45451,-0.01368,0.15566,0.68577,-0.27300,0.21281,0.64023,1714873150
0.01206,-1.46960,2.48693,0.11256,-1.71801,1.61086,0.45450,-0.01368,0.15565,0.68577,-0.27300,0.21280,0.64023,1714873150
0.01206,-1.46959,2.48692,0.11255,-1.71800,1.61081,0.45451,-0.01368,0.15565,0.68576,-0.27300,0.21280,0.64025,1714873151
0.01204,-1.46960,2.48693,0.11256,-1.71802,1.61084,0.45450,-0.01369,0.15565,0.68576,-0.27301,0.21280,0.64024,1714873151
0.01208,-1.46960,2.48694,0.11255,-1.71799,1.61084,0.45450,-0.01367,0.15564,0.68577,-0.27298,0.21280,0.64024,1714873151
0.01205,-1.46959,2.48693,0.11257,-1.71802,1.61083,0.45450,-0.01368,0.15565,0.68576,-0.27301,0.21280,0.64024,1714873151
0.01206,-1.46959,2.48693,0.11256,-1.71799,1.61081,0.45451,-0.01368,0.15564,0.68576,-0.27300,0.21279,0.64025,1714873151
0.01203,-1.46959,2.48690,0.11257,-1.71801,1.61083,0.45451,-0.01369,0.15566,0.68576,-0.27302,0.21280,0.64024,1714873152
0.01206,-1.46959,2.48693,0.11257,-1.71802,1.61082,0.45450,-0.01368,0.15565,0.68576,-0.27301,0.21280,0.64025,1714873152
0.01208,-1.46959,2.48693,0.11255,-1.71802,1.61080,0.45450,-0.01367,0.15565,0.68576,-0.27300,0.21281,0.64025,1714873152
0.01204,-1.46960,2.48693,0.11257,-1.71799,1.61083,0.45451,-0.01369,0.15565,0.68576,-0.27301,0.21279,0.64025,1714873152
0.01206,-1.46959,2.48693,0.11256,-1.71800,1.61081,0.45451,-0.01368,0.15565,0.68576,-0.27300,0.21280,0.64025,1714873152
0.01208,-1.46960,2.48692,0.11256,-1.71795,1.61084,0.45451,-0.01367,0.15565,0.68578,-0.27298,0.21279,0.64024,1714873153
0.01206,-1.46959,2.48690,0.11257,-1.71800,1.61087,0.45451,-0.01368,0.15566,0.68577,-0.27301,0.21281,0.64023,1714873153
0.01209,-1.46960,2.48689,0.11257,-1.71800,1.61085,0.45451,-0.01366,0.15567,0.68577,-0.27300,0.21282,0.64023,1714873153
0.01204,-1.46959,2.48689,0.11253,-1.71799,1.61081,0.45451,-0.01368,0.15566,0.68575,-0.27301,0.21281,0.64025,1714873153
0.01206,-1.46959,2.48692,0.11254,-1.71799,1.61085,0.45451,-0.01367,0.15565,0.68577,-0.27299,0.21281,0.64024,1714873153
0.01205,-1.46960,2.48693,0.11257,-1.71802,1.61087,0.45450,-0.01369,0.15565,0.68577,-0.27301,0.21280,0.64023,1714873154
0.01206,-1.46960,2.48693,0.11256,-1.71798,1.61084,0.45451,-0.01368,0.15565,0.68577,-0.27300,0.21279,0.64024,1714873154
